Step,Agent,Action,Reason
10,J1,Green NS,High Congestion (21 cars). Clearing queue.
10,J2,Green NS,High Congestion (21 cars). Clearing queue.
10,J3,Green NS,High Congestion (15 cars). Clearing queue.
10,J4,Green NS,High Congestion (20 cars). Clearing queue.
12,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
13,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
14,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
15,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
16,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
17,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
18,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
19,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
20,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
21,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
22,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
23,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
24,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
25,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
26,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
27,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
28,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
29,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
30,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
31,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
32,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
33,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
