--- EXPLAINABLE AI LOG ---
Step | Agent | Action | Reason
Step 10 | Agent J1 | Action: Green for North-South | Reason: Moderate traffic. Green for North-South chosen based on learned policy.
Step 10 | Agent J2 | Action: Green for North-South | Reason: Moderate traffic. Green for North-South chosen based on learned policy.
Step 12 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 13 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 14 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 15 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 16 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 17 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 18 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 19 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 20 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 21 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 22 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 23 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 24 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 25 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 26 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 27 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 28 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 29 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 30 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 31 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 32 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 33 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 34 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 35 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 36 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 37 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 38 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 39 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 40 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 41 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 42 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 43 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 44 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 45 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 46 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 47 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 48 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 49 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 50 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 51 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 52 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 53 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 54 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 55 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 56 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 57 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 58 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 59 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 60 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 61 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 62 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 63 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 64 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 65 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 66 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 67 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 68 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 69 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 70 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 71 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 72 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 73 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 74 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 75 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 76 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 77 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 78 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 79 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 80 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 81 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 82 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 83 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 84 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 85 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 86 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 87 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 88 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 89 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 90 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 91 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 92 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 93 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 94 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 95 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 96 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 97 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 98 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 99 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 100 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 101 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 102 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 103 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 104 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 105 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 106 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 107 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 108 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 109 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 110 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 111 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 112 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 113 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 114 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 115 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
