Step,Junction,QueueLength,FuelConsumption,Reward
1,J1,12,45408.699249753365,-1.45
1,J2,12,43900.24607910834,-1.44
1,J3,16,58533.8622512536,-4.59
1,J4,15,52460.40293153652,-2.52
2,J1,13,53735.48183227744,-1.54
2,J2,11,43392.444023188786,0.57
2,J3,15,62574.04303753948,0.37
2,J4,15,58144.2918226522,-0.58
3,J1,17,57883.5158535486,-4.58
3,J2,13,44552.77808376781,-2.45
3,J3,18,53889.05615783666,-3.54
3,J4,14,52451.79793329523,0.48
4,J1,15,57826.896429869535,1.42
4,J2,16,67056.57035928108,-3.67
4,J3,17,67905.21674066935,0.32
4,J4,15,63463.843939741826,-1.63
5,J1,21,58839.826296429455,-6.59
5,J2,16,59060.17434541707,-0.59
5,J3,18,65129.13505593648,-1.65
5,J4,17,62164.77261520951,-2.62
6,J1,19,70824.60428220875,1.29
6,J2,18,65381.28658305641,-2.65
6,J3,16,67651.49328552099,1.32
6,J4,18,66580.94886160275,-1.67
7,J1,20,66843.19521732867,-1.67
7,J2,20,62221.80874501899,-2.62
7,J3,17,48187.92577147017,-1.48
7,J4,20,61167.288102022634,-2.61
8,J1,21,74384.57753215161,-1.74
8,J2,18,74177.40675548487,1.26
8,J3,17,66451.00250143123,-0.66
8,J4,18,73957.38156613563,1.26
9,J1,21,73708.15426473216,-0.74
9,J2,21,67998.55649505717,-3.68
9,J3,15,50953.4860248929,1.49
9,J4,20,66838.04020032137,-2.67
10,J1,23,84276.59775920649,-2.84
10,J2,22,69573.80557383485,-1.70
10,J3,14,48147.44697716263,0.52
10,J4,23,86153.1227968719,-3.86
11,J1,22,79342.36578893062,0.21
11,J2,22,72521.02757829978,-0.73
11,J3,12,53288.03565211395,1.47
11,J4,23,73346.27306083417,-0.73
50,J1,24,66408.78636679707,-2.66
50,J2,26,100868.3379594512,-5.01
50,J3,16,54626.474624782706,-4.55
50,J4,33,86615.67186274985,-10.87
85,J1,30,92785.42790442449,-6.93
85,J2,25,99545.05852764501,0.00
85,J3,14,68215.79736899919,1.32
85,J4,40,138645.73108365998,-8.39
120,J1,38,122184.83515555218,-9.22
120,J2,21,78656.91315137412,3.21
120,J3,18,57903.20386827646,-4.58
120,J4,47,131357.95380927017,-8.31
121,J1,40,132176.8339733793,-3.32
121,J2,17,62258.081000297796,3.38
121,J3,24,115110.30848096669,-7.15
121,J4,38,150479.51112692567,7.50
122,J1,34,102501.09162677439,4.97
122,J2,16,52589.630864955485,0.47
122,J3,34,102033.09606425607,-11.02
122,J4,30,154255.21880411386,6.46
123,J1,35,115436.32731316675,-2.15
123,J2,17,62004.8583868868,-1.62
123,J3,36,134434.85638406477,-3.34
123,J4,24,109556.43656999902,4.90
124,J1,38,98847.02545449049,-3.99
124,J2,16,56271.90680070191,0.44
124,J3,40,130912.91319311959,-5.31
124,J4,28,99111.95950676501,-4.99
125,J1,37,125474.18382433859,-0.25
125,J2,15,55199.62019123868,0.45
125,J3,36,143849.81239358222,2.56
125,J4,30,99359.98800698624,-2.99
126,J1,33,112865.45921676201,2.87
126,J2,18,53678.574797890855,-3.54
126,J3,39,137257.173631781,-4.37
126,J4,27,107277.4209961829,1.93
127,J1,33,115732.99996746879,-1.16
127,J2,20,81278.98574882199,-2.81
127,J3,39,164193.3100323841,-1.64
127,J4,26,94043.4575620922,0.06
128,J1,27,98122.89389687058,5.02
128,J2,23,75158.83110750522,-3.75
128,J3,38,141082.16048854703,-0.41
128,J4,25,86371.17515946022,0.14
129,J1,26,89706.61051495011,0.10
129,J2,24,88687.51576524039,-1.89
129,J3,38,131077.12205027344,-1.31
129,J4,25,84296.92251975728,-0.84
130,J1,22,78360.80359544118,3.22
130,J2,21,66364.07152992659,2.34
130,J3,37,101915.99793914927,-0.02
130,J4,23,84089.67694227077,1.16
131,J1,21,69090.22362859685,0.31
131,J2,19,66020.25346257891,1.34
131,J3,36,117031.55787228396,-0.17
131,J4,26,96438.77745292924,-3.96
132,J1,18,73411.98384917146,2.27
132,J2,19,73290.22348252917,-0.73
132,J3,31,135029.1284120176,3.65
132,J4,25,86330.5879748961,0.14
133,J1,18,61950.68530428024,-0.62
133,J2,22,65433.77585134751,-3.65
133,J3,29,120558.78038591889,0.79
133,J4,20,65259.92012972338,4.35
134,J1,19,59581.14576902965,-1.60
134,J2,23,104251.14258322859,-2.04
134,J3,24,96332.41152833615,4.04
134,J4,20,66784.65935030757,-0.67
135,J1,21,72553.8012230043,-2.73
135,J2,25,78904.83576595777,-2.79
135,J3,24,91206.0462137992,-0.91
135,J4,17,53509.81797216573,2.46
175,J1,23,90971.03376094767,-2.91
175,J2,27,101360.71006046864,-3.01
175,J3,27,80242.9133883061,-3.80
175,J4,14,51542.63517581615,2.48
211,J1,23,96842.39264282011,-0.97
211,J2,35,110703.82446473214,-9.11
211,J3,31,98841.21657443972,-4.99
211,J4,17,70019.95688638007,-3.70
246,J1,19,77288.13742814442,3.23
246,J2,44,121315.54310082039,-10.21
246,J3,46,132515.9563415248,-16.33
246,J4,18,53081.335398924806,-1.53
247,J1,19,61848.579014473005,-0.62
247,J2,46,142564.6478127217,-3.43
247,J3,39,123493.64547982968,5.77
247,J4,20,61908.67434883702,-2.62
248,J1,21,66908.72929815303,-2.67
248,J2,40,132437.34683464153,4.68
248,J3,39,119326.0065176422,-1.19
248,J4,22,84436.61837969309,-2.84
249,J1,16,62146.738002940285,4.38
249,J2,35,157155.8677676853,3.43
249,J3,38,128613.2943302136,-0.29
249,J4,25,101577.42434138275,-4.02
250,J1,20,63383.73217123554,-4.63
250,J2,37,127309.79435355058,-3.27
250,J3,39,113710.3314605959,-2.14
250,J4,28,92890.0320396002,-3.93
